선수명,ID,season_2010,season_2011,season_2012,season_2013,season_2014,season_2015,season_2016,season_2017,season_2018,season_2019,season_2020
플렉센,50234,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,두산
피가로,65444,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,삼성,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
피노,66032,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,KT,소속팀없음,소속팀없음,소속팀없음,소속팀없음
피어밴드,65331,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,키움,키움-KT,KT,KT,소속팀없음,소속팀없음
피에,64746,소속팀없음,소속팀없음,소속팀없음,소속팀없음,한화,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
핀토,50835,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,SK
필,64699,소속팀없음,소속팀없음,소속팀없음,소속팀없음,기아,기아,기아,소속팀없음,소속팀없음,소속팀없음,소속팀없음
하영민,64350,소속팀없음,소속팀없음,소속팀없음,소속팀없음,키움,키움,키움,키움,키움,소속팀없음,소속팀없음
하재훈,69813,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,SK,SK
하주석,62700,소속팀없음,소속팀없음,한화,한화,소속팀없음,한화,한화,한화,한화,한화,한화
