"","name","namecode","id","season","nickname"
"440","박지훈","박지훈01",440,2017,""
"441","박진만","박진만01",441,2015,""
"442","박진우","박진우01",442,2018,""
"443","박진원","박진원01",443,2011,""
"444","박진태","박진태01",444,2017,""
"445","박진형","박진형01",445,2018,""
"446","박진환","박진환01",446,2011,""
"447","박찬도","박찬도01",447,2018,""
"448","박찬호","박찬호01",448,2016,""
"449","박철우","박철우01",449,2015,""
"450","박치국","박치국01",450,2018,""
"451","박한길","박한길01",451,2016,""
"452","박한이","박한이01",452,2018,""
"453","박해민","박해민01",453,2018,""
"454","박헌도","박헌도01",454,2018,""
"455","박헌욱","박헌욱01",455,2018,""
"456","박현준","박현준01",456,2011,""
"457","박희수","박희수01",457,2018,""
"458","반슬라이","반슬라이01",458,2018,""
"459","발디리스","발디리스01",459,2016,""
"460","배민관","배민관01",460,2018,""
"461","배병옥","배병옥01",461,2016,""
"462","배스","배스01",462,2012,""
"463","배영섭","배영섭01",463,2018,""
"464","배영수","배영수01",464,2018,""
"465","배우열","배우열01",465,2018,""
"466","배장호","배장호01",466,2018,""
"467","배재준","배재준01",467,2018,""
"468","배재환","배재환01",468,2018,""
"469","배정대","배정대01",469,2018,""
"470","배제성","배제성01",470,2018,""
"471","배힘찬","배힘찬01",471,2017,""
"472","백민기","백민기01",472,2018,""
"473","백상원","백상원01",473,2018,""
"474","백승룡","백승룡01",474,2013,""
"475","백승민","백승민01",475,2018,""
"476","백승현","백승현01",476,2018,""
"477","백용환","백용환01",477,2018,""
"478","백인식","백인식01",478,2018,""
"479","백정현","백정현01",479,2018,""
"480","백창수","백창수01",480,2018,""
"481","밴덴헐크","밴덴헐크01",481,2014,""
"482","밴와트","밴와트01",482,2016,""
"483","밴헤켄","밴헤켄01",483,2017,""
"484","버나디나","버나디나01",484,2018,""
"485","번사이드","번사이드01",485,2010,""
"486","번즈","번즈01",486,2018,""
"487","베렛","베렛01",487,2018,""
"488","벨레스터","벨레스터01",488,2016,""
"489","변용선","변용선01",489,2012,""
"490","변진수","변진수01",490,2018,""
"491","보니야","보니야01",491,2018,""
"492","보우덴","보우덴01",492,2017,""
"493","볼스테드","볼스테드01",493,2014,""
"494","봉민호","봉민호01",494,2018,""
"495","봉중근","봉중근01",495,2016,""
"496","부시","부시01",496,2012,""
"497","부에노","부에노01",497,2010,""
"498","부첵","부첵01",498,2011,""
"499","브라운","브라운01",499,2015,""
"500","브리검","브리검01",500,2018,""
"501","블랙","블랙01",501,2015,""
"502","비야누에바","비야누에바01",502,2017,""
"503","빌로우","빌로우01",503,2013,""
"504","사도스키","사도스키01",504,2012,""
"505","산체스","산체스01",505,2018,""
"506","샌즈","샌즈01",506,2018,""
"507","샘슨","샘슨01",507,2018,""
"508","서건창","서건창01",508,2018,""
"509","서균","서균01",509,2018,""
"510","서동욱","서동욱01",510,2018,""
"511","서동환","서동환01",511,2014,""
"512","서상우","서상우01",512,2018,""
"513","서성종","서성종01",513,2010,""
"514","서승화","서승화01",514,2010,""
"515","서예일","서예일01",515,2017,""
"516","서용주","서용주01",516,2013,""
"517","서의태","서의태01",517,2018,""
"518","서재응","서재응01",518,2015,""
"519","서진용","서진용01",519,2018,""
"520","서캠프","서캠프01",520,2016,""
"521","성동현","성동현01",521,2018,""
"522","성영훈","성영훈01",522,2017,""
"523","성의준","성의준01",523,2017,""
"524","세든","세든01",524,2016,""
"525","션헨","션헨01",525,2012,""
"526","소사","소사01",526,2018,""
"527","손동욱","손동욱01",527,2017,""
"528","손민한","손민한01",528,2015,""
"529","손승락","손승락01",529,2018,""
"530","손시헌","손시헌01",530,2018,""
"531","손아섭","손아섭01",531,2018,""
"532","손영민","손영민01",532,2017,""
"533","손용석","손용석01",533,2016,""
"534","손인호","손인호01",534,2012,""
"535","손정욱","손정욱01",535,2015,""
"536","손주영","손주영01",536,2018,""
"537","손주인","손주인01",537,2018,""
"538","손지환","손지환01",538,2010,""
"539","손형준","손형준01",539,2012,""
"540","송광민","송광민01",540,2018,""
"541","송민섭","송민섭01",541,2018,""
"542","송산","송산01",542,2012,""
"543","송성문","송성문01",543,2018,""
"544","송승준","송승준01",544,2018,""
"545","송신영","송신영01",545,2017,""
"546","송윤준","송윤준01",546,2013,""
"547","송은범","송은범01",547,2018,""
"548","송주호","송주호01",548,2016,""
"549","송준석","송준석01",549,2018,""
"550","송지만","송지만01",550,2013,""
"551","송창식","송창식01",551,2018,""
"552","송창현","송창현01",552,2016,""
"553","스나이더","스나이더01",553,2015,""
"554","스와잭","스와잭01",554,2015,""
"555","스캇","스캇01",555,2014,""
"556","스크럭스","스크럭스01",556,2018,""
"557","스튜어트","스튜어트01",557,2016,""
"558","스틴슨","스틴슨01",558,2015,""
"559","시스코","시스코01",559,2015,""
"560","신경현","신경현01",560,2012,""
"561","신동훈","신동훈01",561,2014,""
"562","신명철","신명철01",562,2015,""
"563","신범수","신범수01",563,2018,""
"564","신병률","신병률01",564,2018,""
"565","신본기","신본기01",565,2018,""
"566","신성현","신성현01",566,2018,""
"567","신승현","신승현01",567,2017,""
"568","신용운","신용운01",568,2016,""
"569","신윤호","신윤호01",569,2014,""
"570","신재영","신재영01",570,2018,""
"571","신재웅","신재웅01",571,2018,""
"572","신정락","신정락01",572,2018,""
"573","신정익","신정익01",573,2013,""
"574","신종길","신종길01",574,2017,""
"575","신주영","신주영01",575,2012,""
"576","신진호","신진호01",576,2018,""
"577","신창호","신창호01",577,2015,""
"578","신해수","신해수01",578,2010,""
"579","신현철","신현철01",579,2016,""
"580","심광호","심광호01",580,2012,""
"581","심규범","심규범01",581,2018,""
"582","심동섭","심동섭01",582,2018,""
"583","심수창","심수창01",583,2018,""
"584","심우준","심우준01",584,2018,""
"585","심재민","심재민01",585,2018,""
"586","심창민","심창민01",586,2018,""
"587","아담","아담01",587,2013,""
"588","아델만","아델만01",588,2018,""
"589","아두치","아두치01",589,2016,""
"590","안경현","안경현01",590,2010,""
"591","안규영","안규영01",591,2017,""
"592","안규현","안규현01",592,2017,""
"593","안동현","안동현01",593,2011,""
"594","안상빈","안상빈01",594,2016,""
"595","안상현","안상현01",595,2018,""
"596","안성무","안성무01",596,2018,""
"597","안승민","안승민01",597,2013,""
"598","안영명","안영명01",598,2018,""
"599","안영진","안영진01",599,2012,""
"600","안우진","안우진01",600,2018,""
"601","안익훈","안익훈01",601,2018,""
"602","안정광","안정광01",602,2015,""
"603","안주형","안주형01",603,2018,""
"604","안중열","안중열01",604,2018,""
"605","안지만","안지만01",605,2016,""
"606","안치영","안치영01",606,2017,""
"607","안치용","안치용01",607,2013,""
"608","안치홍","안치홍01",608,2018,""
"609","안태영","안태영01",609,2014,""
"610","알드리지","알드리지01",610,2011,""
"611","애디튼","애디튼01",611,2017,""
"612","앤서니","앤서니01",612,2013,""
"613","앨버스","앨버스01",613,2014,""
"614","양석환","양석환01",614,2018,""
"615","양성우","양성우01",615,2018,""
"616","양승진","양승진01",616,2012,""
"617","양영동","양영동01",617,2013,""
"618","양원혁","양원혁01",618,2018,""
"619","양의지","양의지01",619,2018,""
"620","양종민","양종민01",620,2018,""
"621","양준혁","양준혁01",621,2010,""
"622","양창섭","양창섭01",622,2018,""
"623","양현","양현01",623,2018,""
"624","양현종","양현종01",624,2018,""
"625","양훈","양훈01",625,2017,""
"626","어센시오","어센시오01",626,2014,""
"627","어윈","어윈01",627,2015,""
"628","엄상백","엄상백01",628,2018,""
"629","엄정욱","엄정욱01",629,2014,""
"630","엄태용","엄태용01",630,2014,""
"631","에릭","에릭01",631,2014,""
"632","에반","에반01",632,2015,""
"633","에반스","에반스01",633,2017,""
"634","여건욱","여건욱01",634,2018,""
"635","연경흠","연경흠01",635,2013,""
"636","예진원","예진원01",636,2018,""
"637","오간도","오간도01",637,2017,""
"638","오넬리","오넬리01",638,2011,""
"639","오두철","오두철01",639,2014,""
"640","오상민","오상민01",640,2011,""
"641","오선진","오선진01",641,2018,""
"642","오설리반","오설리반01",642,2017,""
"643","오성민","오성민01",643,2011,""
"644","오승택","오승택01",644,2017,""
"645","오승환","오승환01",645,2013,""
"646","오영수","오영수01",646,2018,""
"647","오윤","오윤01",647,2014,""
"648","오윤석","오윤석01",648,2018,""
"649","오윤성","오윤성01",649,2017,""
"650","오장훈","오장훈01",650,2015,""
"651","오재영","오재영01",651,2016,""
"652","오재원","오재원01",652,2018,""
"653","오재일","오재일01",653,2018,""
"654","오재필","오재필01",654,2013,""
"655","오정복","오정복01",655,2018,""
"656","오주원","오주원01",651,2018,""
"657","오준혁","오준혁01",657,2018,""
"658","오준형","오준형01",658,2013,""
"659","오지환","오지환01",659,2018,""
"660","오카모토","오카모토01",660,2010,""
"661","오태곤","오태곤01",644,2018,""
"662","오현근","오현근01",662,2016,""
"663","오현택","오현택01",663,2018,""
"664","옥스프링","옥스프링01",664,2015,""
"665","올슨","올슨01",665,2013,""
"666","왈론드","왈론드01",666,2010,""
"667","왕웨이중","왕웨이중01",667,2018,""
"668","용덕한","용덕한01",668,2016,""
"669","우규민","우규민01",669,2018,""
"670","우동균","우동균01",670,2017,""
"671","울프","울프01",671,2014,""
"672","워스","워스01",672,2017,""
"673","원용묵","원용묵01",673,2013,""
"674","원종현","원종현01",674,2018,""
"675","웨버","웨버01",675,2014,""
"676","웹스터","웹스터01",676,2016,""
"677","윌슨","윌슨01",677,2018,""
"678","유강남","유강남01",678,2018,""
"679","유경국","유경국01",679,2016,""
"680","유동훈","유동훈01",680,2013,""
"681","유먼","유먼01",681,2015,""
"682","유민상","유민상01",682,2018,""
"683","유서준","유서준01",683,2016,""
"684","유선정","유선정01",684,2015,""
"685","유승철","유승철01",685,2018,""
"686","유영준","유영준01",686,2017,""
"687","유원상","유원상01",687,2018,""
"688","유재신","유재신01",688,2018,""
"689","유재웅","유재웅01",689,2012,""
"690","유재유","유재유01",690,2018,""
"691","유재혁","유재혁01",691,2013,""
