,경기날짜,선수명,포지션,팀,더블헤더여부,홈팀,원정팀,1,2,3,4,5,6,7,8,9,10,11,12,안타,타수,타율,타점,득점
100,2018-04-03,나종덕,포,롯데,0,한화,롯데,0,0,0,0,7107,0,0,0,0,0.0,0.0,0.0,0,1,0.0,0,0
101,2018-04-03,전준우,타,롯데,0,한화,롯데,0,0,0,0,0,7100,0,0,0,0.0,0.0,0.0,0,1,0.138,0,0
102,2018-04-03,나원탁,포,롯데,0,한화,롯데,0,0,0,0,0,0,0,7107,0,0.0,0.0,0.0,0,1,0.111,0,0
103,2018-04-04,손아섭,우,롯데,0,한화,롯데,3000,7104,0,0,7006,7101,0,0,3000,0.0,0.0,0.0,0,3,0.316,0,2
104,2018-04-04,김문호,좌,롯데,0,한화,롯데,7304,7006,0,0,1019,0,1019,0,1019,0.0,0.0,0.0,3,5,0.353,1,0
105,2018-04-04,나경민,주,롯데,0,한화,롯데,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
106,2018-04-04,민병헌,중,롯데,0,한화,롯데,1017,0,1017,0,7006,0,7005,0,2000,0.0,0.0,0.0,2,5,0.275,0,1
107,2018-04-04,이대호,一,롯데,0,한화,롯데,1110,0,2000,0,1019,0,7006,0,5004,0.0,0.0,0.0,2,4,0.237,2,0
108,2018-04-04,채태인,지,롯데,0,한화,롯데,3100,0,1300,0,7006,0,2000,0,3100,0.0,0.0,0.0,1,3,0.2,1,1
109,2018-04-04,문규현,주,롯데,0,한화,롯데,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.077,0,0
110,2018-04-04,번즈,二,롯데,0,한화,롯데,1019,0,7102,0,0,1303,0,2000,2000,0.0,0.0,0.0,2,5,0.237,2,1
111,2018-04-04,한동희,三,롯데,0,한화,롯데,2000,0,0,7101,0,7104,0,7101,0,0.0,0.0,0.0,0,4,0.278,0,0
112,2018-04-04,신본기,유,롯데,0,한화,롯데,2000,0,0,7102,0,1017,0,7101,0,0.0,0.0,0.0,1,4,0.333,0,0
113,2018-04-04,김사훈,포,롯데,0,한화,롯데,0,7003,0,7307,0,2000,0,0,0,0.0,0.0,0.0,0,3,0.333,0,0
114,2018-04-04,전준우,타,롯데,0,한화,롯데,0,0,0,0,0,0,0,0,1019,0.0,0.0,0.0,1,1,0.167,0,1
115,2018-04-07,이용규,중,한화,0,KT,한화,7004,0,7101,0,0,2000,0,7100,0,0.0,0.0,0.0,0,4,0.318,0,0
116,2018-04-07,양성우,좌,한화,0,KT,한화,7100,0,7006,0,0,0,0,0,0,0.0,0.0,0.0,0,2,0.303,0,0
117,2018-04-07,백창수,타좌,한화,0,KT,한화,0,0,0,0,0,7003,0,0,0,0.0,0.0,0.0,0,1,0.143,0,0
118,2018-04-07,장진혁,타좌,한화,0,KT,한화,0,0,0,0,0,0,0,1202,0,0.0,0.0,0.0,1,1,0.5,0,0
119,2018-04-07,송광민,一,한화,0,KT,한화,2000,0,0,1017,0,7304,0,7301,0,0.0,0.0,0.0,1,4,0.405,0,0
120,2018-04-07,호잉,우,한화,0,KT,한화,0,1116,0,7205,0,0,2000,0,1019,0.0,0.0,0.0,2,4,0.429,0,1
121,2018-04-07,정근우,二,한화,0,KT,한화,0,1023,0,2000,0,0,3000,0,0,0.0,0.0,0.0,1,2,0.237,0,0
122,2018-04-07,정은원,二,한화,0,KT,한화,0,0,0,0,0,0,0,0,6001,0.0,0.0,0.0,0,1,0.0,0,0
